Canonical branch ID,Legacy ID,Branch type,Parent canonical ID,Branch length,"Descendants, n",Descendant taxa,Clade / taxon label,Indel regime,Insertion O/E (representative only),Insertion FDR (representative only),Deletion O/E (representative only),Deletion FDR (representative only),Numeric-detail status
N25,V67,internal,N21,0.0150039502105024,11,D.americana; D.borealis; D.ezoana; D.flavomontana; D.grimshawi; D.kanekoi; D.littoralis; D.lummei; D.montana; D.novamexicana; D.virilis,MRCA clade; n=11,deletion_enriched,,,,,canonical regime; full legacy O/E not recopied
D.grimshawi,,terminal,N25,0.0443727971798003,1,D.grimshawi,D.grimshawi,insertion_enriched,3.19,0.0351490169717405,0.57,1,exact representative metrics
N26,V66,internal,N25,0.0536577607278481,10,D.americana; D.borealis; D.ezoana; D.flavomontana; D.kanekoi; D.littoralis; D.lummei; D.montana; D.novamexicana; D.virilis,MRCA clade; n=10,deletion_enriched,,,,,canonical regime; full legacy O/E not recopied
D.ezoana,,terminal,N26,0.0023760216910975,1,D.ezoana,D.ezoana,deletion_enriched,0,1,15.25,1.0437472769581838e-10,exact representative metrics
N27,V65,internal,N26,0.00302095871275114,9,D.americana; D.borealis; D.flavomontana; D.kanekoi; D.littoralis; D.lummei; D.montana; D.novamexicana; D.virilis,MRCA clade; n=9,no_significant_enrichment,,,,,canonical regime; full legacy O/E not recopied
D.kanekoi,,terminal,N27,0.00542319509975482,1,D.kanekoi,D.kanekoi,deletion_enriched,,,,,canonical regime; full legacy O/E not recopied
N29,V54,internal,N28,0.00271041487937953,3,D.borealis; D.flavomontana; D.montana,MRCA clade; n=3,deletion_enriched,,,,,canonical regime; full legacy O/E not recopied
D.montana,,terminal,N30,0.00543251819183553,1,D.montana,D.montana,no_significant_enrichment,,,,,canonical regime; full legacy O/E not recopied
D.flavomontana,,terminal,N30,0.00270064815540166,1,D.flavomontana,D.flavomontana,no_significant_enrichment,,,,,canonical regime; full legacy O/E not recopied
D.borealis,,terminal,N29,0.00543250357183303,1,D.borealis,D.borealis,no_significant_enrichment,,,,,canonical regime; full legacy O/E not recopied
D.littoralis,,terminal,N31,0.0164866736820141,1,D.littoralis,D.littoralis,no_significant_enrichment,,,,,canonical regime; full legacy O/E not recopied
N32,V62,internal,N31,0.00545017861405303,4,D.americana; D.lummei; D.novamexicana; D.virilis,MRCA clade; n=4,no_significant_enrichment,,,,,canonical regime; full legacy O/E not recopied
D.virilis,,terminal,N32,0.00818986898542222,1,D.virilis,D.virilis,no_significant_enrichment,,,,,canonical regime; full legacy O/E not recopied
N33,V61,internal,N32,0.0026633660706644,3,D.americana; D.lummei; D.novamexicana,MRCA clade; n=3,no_significant_enrichment,,,,,canonical regime; full legacy O/E not recopied
D.lummei,,terminal,N33,0.00539341101473824,1,D.lummei,D.lummei,no_significant_enrichment,,,,,canonical regime; full legacy O/E not recopied
N34,V60,internal,N33,0.00543457733312303,2,D.americana; D.novamexicana,MRCA clade; n=2,no_significant_enrichment,,,,,canonical regime; full legacy O/E not recopied
